                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4026,                0.91854,                 1.6366,                0.91401,                0.90442,                0.95164,                0.60235,                 1.3231,                0.72167,                 1.6812,               0.006535,               0.006535,               0.006535
                     37,                 1.3948,                0.89697,                 1.6233,                0.91448,                0.90136,                0.95099,                0.60071,                 1.3279,                 0.7023,                 1.6781,               0.006436,               0.006436,               0.006436
                     38,                  1.395,                0.90724,                 1.6243,                0.90648,                 0.8979,                0.94523,                0.59287,                 1.3351,                0.72667,                 1.6669,               0.006337,               0.006337,               0.006337
                     39,                 1.3877,                0.89719,                 1.6192,                 0.9063,                0.89373,                0.94401,                0.59238,                 1.3348,                0.72013,                 1.6855,               0.006238,               0.006238,               0.006238
                     40,                 1.3883,                0.89659,                 1.6116,                0.91705,                0.90445,                 0.9522,                0.60285,                 1.3139,                0.72927,                 1.6653,               0.006139,               0.006139,               0.006139
                     41,                 1.3822,                0.88416,                 1.6203,                0.91562,                0.91723,                0.95254,                0.60576,                 1.3158,                0.68242,                 1.6652,                0.00604,                0.00604,                0.00604
                     42,                 1.3787,                0.87777,                 1.6072,                0.91675,                0.90428,                0.95249,                0.60608,                  1.313,                0.68555,                 1.6642,               0.005941,               0.005941,               0.005941
                     43,                 1.3737,                0.88555,                  1.612,                0.92372,                0.90586,                0.95419,                0.61337,                 1.2941,                0.68009,                 1.6452,               0.005842,               0.005842,               0.005842
                     44,                 1.3755,                0.87002,                 1.6059,                0.92078,                 0.9106,                0.95625,                0.61347,                 1.2932,                0.67205,                 1.6368,               0.005743,               0.005743,               0.005743
                     45,                 1.3665,                0.85841,                 1.5984,                0.91933,                0.91268,                0.95568,                0.61382,                 1.3012,                0.67848,                  1.653,               0.005644,               0.005644,               0.005644
                     46,                 1.3614,                 0.8607,                 1.5954,                0.92331,                0.91552,                0.96013,                0.61646,                 1.2949,                0.66038,                 1.6314,               0.005545,               0.005545,               0.005545
                     47,                 1.3475,                0.84083,                 1.5871,                0.91656,                0.91912,                0.95861,                 0.6186,                 1.2889,                0.64485,                 1.6405,               0.005446,               0.005446,               0.005446
                     48,                 1.3463,                0.84352,                 1.5844,                0.91672,                0.91623,                0.95721,                0.61642,                 1.2913,                0.67415,                 1.6401,               0.005347,               0.005347,               0.005347
                     49,                 1.3537,                0.84385,                  1.579,                0.93046,                 0.9309,                0.96302,                0.62155,                 1.2818,                0.63708,                 1.6231,               0.005248,               0.005248,               0.005248
                     50,                  1.342,                0.82621,                 1.5747,                0.93269,                0.91866,                0.96016,                0.62115,                 1.2864,                0.63854,                 1.6356,               0.005149,               0.005149,               0.005149
                     51,                  1.339,                0.82625,                  1.579,                0.93257,                0.92538,                 0.9626,                0.62547,                 1.2787,                0.62867,                 1.6259,                0.00505,                0.00505,                0.00505
                     52,                 1.3303,                0.81819,                 1.5685,                0.93528,                0.91848,                0.96448,                0.62582,                  1.285,                 0.6297,                 1.6235,               0.004951,               0.004951,               0.004951
                     53,                 1.3315,                0.82047,                 1.5632,                0.93249,                0.92049,                0.96363,                0.62714,                 1.2753,                0.63261,                 1.6201,               0.004852,               0.004852,               0.004852
